Name                                                                         Stmts   Miss  Cover
------------------------------------------------------------------------------------------------
server/__init__.py                                                               0      0   100%
server/server/__init__.py                                                      185     76    59%
server/server/handlers/__init__.py                                               0      0   100%
server/server/handlers/db_handler.py                                            22      6    73%
server/server/handlers/image_handler.py                                         34      0   100%
server/server/handlers/item_handler.py                                         117     17    85%
server/server/handlers/response_objects.py                                      30     21    30%
server/server/handlers/search_handler.py                                        33      5    85%
server/server/handlers/trade_handler.py                                         99      5    95%
server/server/handlers/user_handler.py                                          74     10    86%
server/server/handlers/zipcode_handler/__init__.py                               0      0   100%
server/server/handlers/zipcode_handler/zipcode.py                              106     21    80%
server/tests/test_api.py                                                        10      1    90%
server/tests/test_item_handler.py                                              147      1    99%
server/tests/test_nothing.py                                                     6      1    83%
server/tests/test_search_handler.py                                             38      0   100%
server/tests/test_trade_handler.py                                              88      0   100%
server/tests/test_user_handler.py                                              108      1    99%
/usr/local/lib/python2.7/site-packages/boto/__init__.py                        245    167    32%
/usr/local/lib/python2.7/site-packages/boto/auth.py                            536    376    30%
/usr/local/lib/python2.7/site-packages/boto/auth_handler.py                     10      1    90%
/usr/local/lib/python2.7/site-packages/boto/cacerts/__init__.py                  0      0   100%
/usr/local/lib/python2.7/site-packages/boto/compat.py                            4      0   100%
/usr/local/lib/python2.7/site-packages/boto/connection.py                      589    261    56%
/usr/local/lib/python2.7/site-packages/boto/exception.py                       271    156    42%
/usr/local/lib/python2.7/site-packages/boto/gs/__init__.py                       0      0   100%
/usr/local/lib/python2.7/site-packages/boto/gs/acl.py                          186    133    28%
/usr/local/lib/python2.7/site-packages/boto/gs/user.py                          26     20    23%
/usr/local/lib/python2.7/site-packages/boto/handler.py                          29     19    34%
/usr/local/lib/python2.7/site-packages/boto/https_connection.py                 48     33    31%
/usr/local/lib/python2.7/site-packages/boto/jsonresponse.py                    106     87    18%
/usr/local/lib/python2.7/site-packages/boto/plugin.py                           36     12    67%
/usr/local/lib/python2.7/site-packages/boto/provider.py                        194     64    67%
/usr/local/lib/python2.7/site-packages/boto/pyami/__init__.py                    0      0   100%
/usr/local/lib/python2.7/site-packages/boto/pyami/config.py                    159    101    36%
/usr/local/lib/python2.7/site-packages/boto/regioninfo.py                       53     19    64%
/usr/local/lib/python2.7/site-packages/boto/resultset.py                       111     98    12%
/usr/local/lib/python2.7/site-packages/boto/s3/__init__.py                      13      1    92%
/usr/local/lib/python2.7/site-packages/boto/s3/acl.py                          105     83    21%
/usr/local/lib/python2.7/site-packages/boto/s3/bucket.py                       670    519    23%
/usr/local/lib/python2.7/site-packages/boto/s3/bucketlistresultset.py           60     48    20%
/usr/local/lib/python2.7/site-packages/boto/s3/bucketlogging.py                 50     41    18%
/usr/local/lib/python2.7/site-packages/boto/s3/connection.py                   260    156    40%
/usr/local/lib/python2.7/site-packages/boto/s3/cors.py                          80     69    14%
/usr/local/lib/python2.7/site-packages/boto/s3/deletemarker.py                  28     23    18%
/usr/local/lib/python2.7/site-packages/boto/s3/key.py                          661    408    38%
/usr/local/lib/python2.7/site-packages/boto/s3/keyfile.py                       74     53    28%
/usr/local/lib/python2.7/site-packages/boto/s3/lifecycle.py                    110     87    21%
/usr/local/lib/python2.7/site-packages/boto/s3/multidelete.py                   64     48    25%
/usr/local/lib/python2.7/site-packages/boto/s3/multipart.py                    160    133    17%
/usr/local/lib/python2.7/site-packages/boto/s3/prefix.py                        15     10    33%
/usr/local/lib/python2.7/site-packages/boto/s3/tagging.py                       52     34    35%
/usr/local/lib/python2.7/site-packages/boto/s3/user.py                          23     18    22%
/usr/local/lib/python2.7/site-packages/boto/s3/website.py                      122     85    30%
/usr/local/lib/python2.7/site-packages/boto/storage_uri.py                     458    352    23%
/usr/local/lib/python2.7/site-packages/boto/utils.py                           558    389    30%
/usr/local/lib/python2.7/site-packages/builtins/__init__.py                      7      1    86%
/usr/local/lib/python2.7/site-packages/flask/__init__.py                        18      0   100%
/usr/local/lib/python2.7/site-packages/flask/_compat.py                         38     20    47%
/usr/local/lib/python2.7/site-packages/flask/app.py                            528    235    55%
/usr/local/lib/python2.7/site-packages/flask/blueprints.py                     156    118    24%
/usr/local/lib/python2.7/site-packages/flask/config.py                          52     27    48%
/usr/local/lib/python2.7/site-packages/flask/ctx.py                            140     36    74%
/usr/local/lib/python2.7/site-packages/flask/debughelpers.py                    35     25    29%
/usr/local/lib/python2.7/site-packages/flask/globals.py                         24      6    75%
/usr/local/lib/python2.7/site-packages/flask/helpers.py                        277    189    32%
/usr/local/lib/python2.7/site-packages/flask/json.py                            83     35    58%
/usr/local/lib/python2.7/site-packages/flask/module.py                          13      7    46%
/usr/local/lib/python2.7/site-packages/flask/sessions.py                       143     83    42%
